Year,SPX real return,real rate,1+r,capita consumption
1889,0.122137068,0.099139671,1.099139671,2731.570142
1890,-0.082418936,0.028390402,1.028390402,2674.739801
1891,0.260760096,0.128511862,1.128511862,2802.827499
1892,-0.015044426,-0.035830692,0.964169308,2877.010456
1893,-0.060927198,0.250995388,1.250995388,2834.846162
1894,0.077293749,0.078120801,1.078120801,2698.707529
1895,0.034420896,0.016173572,1.016173572,2979.457336
1896,0.060751983,0.088705691,1.088705691,2916.275277
1897,0.164793706,0.004845891,1.004845891,3089.246322
1898,0.268759448,0.020914967,1.020914967,3085.275476
1899,-0.112218676,-0.115836209,0.884163791,3389.813052
1900,0.238029839,0.07223799,1.07223799,3362.054136
1901,0.165009786,0.017866565,1.017866565,3702.785787
1902,-0.012653944,-0.044861869,0.955138131,3659.712065
1903,-0.130825526,0.103505396,1.103505396,3808.077903
1904,0.278987688,0.019957853,1.019957853,3785.689957
1905,0.209964413,0.0417,1.0417,3923.570459
1906,-0.034284312,0.009336659,1.009336659,4273.844535
1907,-0.22069199,0.085642122,1.085642122,4276.705113
1908,0.336950053,0.019589768,1.019589768,3929.989972
1909,0.049495229,-0.063166887,0.936833113,4274.44235
1910,0.036006858,0.128567582,1.128567582,4263.359503
1911,0.045289231,0.050826321,1.050826321,4399.928251
1912,-0.000508314,-0.027414876,0.972585124,4444.755223
1913,-0.067419355,0.03537,1.03537,4501.988021
1914,-0.065497948,0.036039604,1.036039604,4361.754443
1915,0.267174002,0.006600962,1.006600962,4224.743781
1916,-0.034893414,-0.078755556,0.921244444,4541.708901
1917,-0.310120914,-0.128767857,0.871232143,4387.478029
1918,-0.00912033,-0.100775758,0.899224242,4369.959262
1919,0.019372298,-0.097544041,0.902455959,4505.826737
1920,-0.123407045,0.089942105,1.089942105,4637.213285
1921,0.227040838,0.207905325,1.207905325,4842.813954
1922,0.29671396,0.052025,1.052025,4952.360565
1923,0.021289862,0.01926474,1.01926474,5310.284847
1924,0.260475651,0.0434,1.0434,5595.713523
1925,0.210384303,0.00388324,1.00388324,5351.595638
1926,0.139293055,0.066635429,1.066635429,5712.110578
1927,0.381459753,0.054653179,1.054653179,5760.196756
1928,0.483782188,0.058638596,1.058638596,5818.535581
1929,-0.08769107,0.0601,1.0601,6071.470984
1930,-0.159834178,0.120103774,1.120103774,5686.178628
1931,-0.365430564,0.138906993,1.138906993,5469.072499
1932,0.013701317,0.145773643,1.145773643,4951.900583
1933,0.513463265,-0.008459091,0.991540909,4815.926239
1934,-0.105843286,-0.019608824,0.980391176,5123.656959
1935,0.514445801,-0.007101449,0.992898551,5400.960408
1936,0.302356507,-0.01393617,0.98606383,5909.390743
